name,type,directions,repetitions,image,mobilityscore,dexterityscore
Sideways walking,Balance exercise,"Stand with your feet together, knees slightly bent., Step sideways in a slow and controlled manner, moving one foot to the side first., Move the other foot to join it","Do 10 steps each way or step from one side of the room to the other., Avoid dropping your hips as you step.",https://assets.hse.ie/media/images/sideways-walking.width-320.jpg,14,3
Simple grapevine,Balance exercise,"This involves walking sideways by crossing one foot over the other., Start by crossing your right foot over your left., Bring your left foot to join it","Try to do 5 cross-steps on each side., Put your fingers against a wall for stability if you need to., The smaller the step, the more you work on your balance",https://assets.hse.ie/media/images/simple-grapevine.width-320.jpg,14,3
Heel-to-toe walk,Balance exercise,"Standing upright, place your right heel on the floor directly in front of your left toe., Then do the same with your left heel. Make sure you keep looking forward at all times","Try to do at least 5 steps., Put your fingers against a wall for stability if you need to., As you get better at this exercise, move away from the wall",https://assets.hse.ie/media/images/Heel-to-toe-walk.width-320.jpg,14,3
One-leg stand,Balance exercise,"Stand facing the wall, with your arms outstretched and your fingertips touching the wall., Lift your left leg, keep your hips level and keep a slight bend in the opposite leg., Hold the lift for 5 to 10 seconds., Gently place your foot back on the floor",Do 3 lifts on each leg,https://assets.hse.ie/media/images/one-leg-stand.width-320.jpg,14,3
Step-up,Balance exercise,"Use a step, with a railing or near a wall for support., Stand in front of the step and put your right foot on the step., Put your weight on your right leg and lift your left foot on to the step., Return to the start position, one foot at a time",Do 5 steps with each leg,https://assets.hse.ie/media/images/step-up.width-320.jpg,14,3
Chest stretch,Sitting exercise,"This stretch is good for your posture., Sit upright and away from the back of the chair., With your arms out to the side, pull your shoulders back and down., Your hands should be around the level of your hips., Gently push your chest forward and up until you feel a stretch across your chest",Hold for 5 to 10 seconds and repeat 5 times,https://assets.hse.ie/media/images/chest-stretch.width-320.jpg,10,1
Upper-body twist,Sitting exercise,"This stretch develops and maintains flexibility in your upper back., Sit upright with your feet flat on the floor, cross your arms and put your hands on your shoulders., Without moving your hips, turn your upper body to the left as far as is comfortable., Hold for 5 seconds., Repeat on the right side",Do this 5 times on each side,https://assets.hse.ie/media/images/upper-body-twist.width-320.jpg,10,1
Hip marching,Sitting exercise,"This exercise strengthens your hips and thighs, and improves flexibility., Sit upright and do not lean on the back of the chair., Hold on to the sides of the chair., Keeping your knee bent, lift your left leg as far as is comfortable., Place your foot down with control., Repeat with the opposite leg",Do 5 lifts with each leg,https://assets.hse.ie/media/images/hip-marching.width-320.jpg,10,1
Ankle stretch,Sitting exercise,"This stretch improves ankle flexibility and lowers the risk of developing a blood clot., Sit upright, hold on to the side of the chair and straighten your left leg with your foot off the floor., With your leg straight and raised, point your toes away from you., Point your toes back towards you","Do 5 stretches on one foot, then 5 on the other., Repeat this twice",https://assets.hse.ie/media/images/ankle-stretch.width-320.jpg,10,1
Arm raises,Sitting exercise,"This exercise builds shoulder strength., Sit upright with your arms by your sides and your palms forward., Keep your shoulders down and arms straight., While breathing out, raise both arms out to the side and up as far as is comfortable., While breathing in, lower your arms to the starting position",Repeat 5 times,https://assets.hse.ie/media/images/arm-raises.width-320.jpg,10,1
