name,calories,cholesterol,folic_acid,vitamin_c,vitamin_d,calcium,iron,protein,carbohydrate,fiber,sugars,fat
Cornstarch,381,0.0,0.0,0.0,0.0,2.0,0.47,0.26,91.27,0.9,0.0,0.05
"Nuts, pecans",691,0.0,0.0,1.1,0.0,70.0,2.53,9.17,13.86,9.6,3.97,71.97
"Eplant, raw",25,0.0,0.0,2.2,0.0,9.0,0.23,0.98,5.88,3.0,3.53,0.18
"Teff, uncooked",367,0.0,0.0,0.0,0.0,180.0,7.63,13.3,73.13,8.0,1.84,2.38
"Sherbet, orane",144,1.0,0.0,2.3,0.0,54.0,0.14,1.1,30.4,1.3,24.32,2.0
"Cauliflower, raw",25,0.0,0.0,48.2,0.0,22.0,0.42,1.92,4.97,2.0,1.91,0.28
"Taro leaves, raw",42,0.0,0.0,52.0,0.0,107.0,2.25,4.98,6.7,3.7,3.01,0.74
"Lamb, raw, round",282,73.0,0.0,0.0,2.0,16.0,1.55,16.56,0.0,0.0,0.0,23.41
"Cheese, camembert",300,72.0,0.0,0.0,18.0,388.0,0.33,19.8,0.46,0.0,0.46,24.26
Veetarian fillets,290,0.0,0.0,0.0,0.0,95.0,2.0,23.0,9.0,6.1,0.8,18.0
"PACE, Picante Sauce",25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,3.1,6.25,0.0
"Goji berries, dried",349,0.0,0.0,48.4,0.0,190.0,6.8,14.26,77.06,13.0,45.61,0.39
"Mano nectar, canned",51,0.0,0.0,15.2,0.0,17.0,0.36,0.11,13.12,0.3,12.45,0.06
"Crackers, rusk toast",407,78.0,23.0,0.0,0.0,27.0,2.72,13.5,72.3,0.0,0.0,7.2
"Chicken, boiled, feet",215,84.0,0.0,0.0,8.0,88.0,0.91,19.4,0.2,0.0,0.0,14.6
"Quail, raw, meat only",134,70.0,0.0,7.2,0.0,13.0,4.51,21.76,0.0,0.0,0.0,4.53
"Pie, lemon, fried pies",316,0.0,15.0,0.0,0.0,22.0,1.22,3.0,42.6,2.6,0.0,16.1
"Peppers, raw, jalapeno",29,0.0,0.0,118.6,0.0,12.0,0.25,0.91,6.5,2.8,4.12,0.37
"Wined bean tuber, raw",148,0.0,0.0,0.0,0.0,30.0,2.0,11.6,28.1,0.0,0.0,0.9
"Salami, turkey, cooked",172,76.0,0.0,0.0,24.0,40.0,1.25,19.2,1.55,0.1,1.12,9.21
"Grapes, raw, muscadine",57,0.0,0.0,6.5,0.0,37.0,0.26,0.81,13.93,3.9,0.0,0.47
"Nuts, raw, inko nuts",182,0.0,0.0,15.0,0.0,2.0,1.0,4.32,37.6,0.0,0.0,1.68
"Spices, round, savory",272,0.0,0.0,50.0,0.0,2132.0,37.88,6.73,68.73,45.7,0.0,5.91
"Candies, sesame crunch",516,0.0,0.0,0.0,0.0,639.0,4.27,11.6,50.3,7.7,31.17,33.3
"Cheese, low fat, cream",201,54.0,0.0,0.0,11.0,148.0,0.17,7.85,8.13,0.0,5.82,15.28
"PACE, Green Taco Sauce",25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0
"Syrup, Canadian, maple",270,0.0,0.0,0.0,0.0,109.0,0.11,0.0,67.38,0.0,59.92,0.0
"Ostrich, raw, top loin",119,75.0,0.0,0.0,0.0,6.0,3.13,21.67,0.0,0.0,0.0,2.95
"Chewin um, suarless",268,0.0,0.0,0.0,0.0,20.0,0.0,0.0,94.8,2.4,0.0,0.4
"Nuts, dried, pine nuts",673,0.0,0.0,0.8,0.0,16.0,5.53,13.69,13.08,3.7,3.59,68.37
"Pasta, unenriched, dry",371,0.0,0.0,0.0,0.0,21.0,1.3,13.04,74.67,3.2,2.67,1.51
"McDONALD'S, Side Salad",20,0.0,0.0,15.7,0.0,24.0,0.65,1.03,4.3,1.6,2.24,0.19
"Cookies, Marie biscuit",406,0.0,98.0,0.0,0.0,0.0,0.0,7.05,70.54,3.5,21.16,10.58
"Broccoli, raw, chinese",30,0.0,0.0,29.6,0.0,105.0,0.59,1.2,4.67,2.6,0.88,0.76
"McDONALD'S, Hash Brown",271,0.0,0.0,5.6,0.0,19.0,0.56,2.48,28.56,2.8,0.54,16.3
"Aave, raw (Southwest)",68,0.0,0.0,4.0,0.0,417.0,1.8,0.52,16.23,6.6,2.58,0.15
"Emu, raw, outside drum",103,78.0,0.0,0.0,0.0,3.0,4.5,23.08,0.0,0.0,0.0,0.48
"Nuts, dried, beechnuts",576,0.0,0.0,15.5,0.0,1.0,2.46,6.2,33.5,0.0,0.0,50.0
"Currants, dried, zante",283,0.0,0.0,4.7,0.0,86.0,3.26,4.08,74.08,6.8,67.28,0.27
"Lentils, raw, sprouted",106,0.0,0.0,16.5,0.0,25.0,3.21,8.96,22.14,0.0,0.0,0.55
"Gravy, mix, dry, onion",322,2.0,17.0,7.0,0.0,280.0,1.0,9.0,67.64,6.0,0.0,3.0
"Pie, fruit, fried pies",316,0.0,15.0,1.3,0.0,22.0,1.22,3.0,42.6,2.6,21.4,16.1
"Snacks, cakes, popcorn",384,0.0,0.0,0.0,0.0,9.0,1.87,9.7,80.1,2.9,0.72,3.1
"Snack, Mixed Berry Bar",383,0.0,0.0,0.6,2.0,105.0,1.89,13.16,58.84,7.9,26.32,10.53
"Fish, raw, sheepshead",108,50.0,0.0,0.0,0.0,21.0,0.46,20.21,0.0,0.0,0.0,2.41
"Babyfood, pear, juice",47,0.0,0.0,33.8,0.0,12.0,0.0,0.0,11.86,0.1,7.28,0.0
"Brussels sprouts, raw",43,0.0,0.0,85.0,0.0,42.0,1.4,3.38,8.95,3.8,2.2,0.3
"Broccoli raab, cooked",33,0.0,0.0,37.0,0.0,118.0,1.27,3.83,3.12,2.8,0.62,0.52
"Butter oil, anhydrous",876,256.0,0.0,0.0,0.0,4.0,0.0,0.28,0.0,0.0,0.0,99.48
"Chicory, raw, witloof",17,0.0,0.0,2.8,0.0,19.0,0.24,0.9,4.0,3.1,0.0,0.1
"KEEBLER, Waffle Cones",424,0.0,0.0,0.0,0.0,0.0,3.0,6.5,87.7,1.8,31.6,5.3
