datetime,sensor_id,sensor_status,activity
2023-08-18_13:59:20.040717,M035,ON,R702_sleep_begin
2023-08-18_13:59:21.006083,M032,ON,
2023-08-18_13:59:21.073385,M034,ON,
2023-08-18_13:59:22.010905,P001,4923,
2023-08-18_13:59:23.086614,M030,OFF,
2023-08-18_13:59:24.005622,M036,OFF,
2023-08-18_13:59:24.092901,M032,OFF,
2023-08-18_13:59:27.028824,M035,OFF,
2023-08-18_13:59:27.056992,M034,OFF,
2023-08-18_13:59:32.010497,M034,ON,
2023-08-18_13:59:33.080721,M034,OFF,
2023-08-18_13:59:46.005111,M045,ON,
2023-08-18_13:59:47.041603,M045,OFF,
2023-08-18_13:59:48.057598,M034,ON,
2023-08-18_13:59:49.065063,M034,OFF,
2023-08-18_13:59:52.087412,M045,ON,
2023-08-18_13:59:54.036529,M045,OFF,
2023-08-18_13:59:54.068494,M045,ON,
2023-08-18_13:59:57.026544,M045,OFF,
2023-08-19_00:00:13.012983,M045,ON,
2023-08-19_00:00:15.010498,M045,OFF,
2023-08-19_00:00:17.050815,M034,ON,
2023-08-19_00:00:17.068683,M035,ON,
2023-08-19_00:00:21.086539,M035,OFF,
2023-08-19_00:00:24.078033,M033,ON,
2023-08-19_00:00:25.085505,M045,ON,
2023-08-19_00:00:26.019131,M035,ON,
2023-08-19_00:00:27.085185,M033,OFF,
2023-08-19_00:00:28.003451,M045,OFF,
2023-08-19_00:00:29.009413,M035,OFF,
2023-08-19_00:00:30.042724,M034,OFF,
2023-08-19_00:00:34.098175,M045,ON,
2023-08-19_00:00:36.076482,M045,OFF,
2023-08-19_00:00:37.035886,M045,ON,
2023-08-19_00:00:41.085126,M045,OFF,
2023-08-19_00:00:42.095001,M045,ON,
2023-08-19_00:00:45.027525,M045,OFF,
2023-08-19_00:00:45.078876,M045,ON,
2023-08-19_00:00:47.083932,M045,OFF,
2023-08-19_00:00:48.084149,M045,ON,
2023-08-19_00:00:52.035543,M045,OFF,
2023-08-19_00:00:54.050601,M045,ON,
2023-08-19_00:00:56.080539,M045,OFF,
2023-08-19_00:01:13.013963,P001,4934,
2023-08-19_00:01:32.033065,M045,ON,
2023-08-19_00:01:34.012528,M045,OFF,
2023-08-19_00:01:35.002148,M045,ON,
2023-08-19_00:01:36.083173,M045,OFF,
2023-08-19_00:01:37.091987,M035,ON,
