datetime,activity,activity_name,user_id
2023-08-18 13:59:20.040717,R702_sleep_begin,sleep,R702
2023-08-19 00:51:24.055553,R701_sleep_begin,sleep,R701
2023-08-19 06:36:51.053115,R701_sleep_end,sleep,R701
2023-08-19 06:36:53.012921,R701_wakeup_begin,wakeup,R701
2023-08-19 06:36:53.043644,R701_wakeup_end,wakeup,R701
2023-08-19 06:42:36.024869,R701_shower_begin,shower,R701
2023-08-19 06:59:14.057248,R701_shower_end,shower,R701
2023-08-19 07:00:02.030947,R702_sleep_end,sleep,R702
2023-08-19 07:00:02.055601,R702_wakeup_begin,wakeup,R702
2023-08-19 07:01:10.062239,R702_wakeup_end,wakeup,R702
2023-08-19 07:02:43.005099,R702_shower_begin,shower,R702
2023-08-19 07:09:37.012895,Cooking_begin,Cooking,ALL
2023-08-19 07:14:42.064672,R702_shower_end,shower,R702
2023-08-19 07:22:40.096092,Cooking_end,Cooking,ALL
2023-08-19 07:26:40.074924,R701_work_begin,work,R701
2023-08-19 07:27:43.020989,R702_work_begin,work,R702
2023-08-19 07:51:49.028785,R702_work_end,work,R702
2023-08-19 07:52:34.065111,Grooming_begin,Grooming,ALL
2023-08-19 07:57:14.070331,R701_work_end,work,R701
2023-08-19 07:57:42.000211,Cleaning_begin,Cleaning,ALL
2023-08-19 07:59:17.036908,Cooking_begin,Cooking,ALL
2023-08-19 08:04:14.034977,Cleaning_end,Cleaning,ALL
2023-08-19 08:04:45.006491,R701_work_begin,work,R701
2023-08-19 08:06:14.037429,Grooming_end,Grooming,ALL
2023-08-19 08:18:39.012147,Cooking_end,Cooking,ALL
2023-08-19 08:21:38.000085,R701_work_end,work,R701
2023-08-19 08:28:00.022428,R702_work_begin,work,R702
2023-08-19 08:28:14.097586,R702_work_end,work,R702
2023-08-19 10:09:11.067483,Cooking_begin,Cooking,ALL
2023-08-19 10:13:27.091679,Cooking_end,Cooking,ALL
2023-08-19 12:27:25.010018,Cooking_begin,Cooking,ALL
2023-08-19 12:34:08.062849,Cooking_end,Cooking,ALL
2023-08-19 15:05:14.000772,Cooking_begin,Cooking,ALL
2023-08-19 15:33:14.078451,Cooking_end,Cooking,ALL
2023-08-19 17:13:00.095865,R701_work_begin,work,R701
2023-08-19 17:16:25.044882,R701_work_end,work,R701
2023-08-19 17:20:32.003503,R701_work_begin,work,R701
2023-08-19 17:36:37.054395,R701_work_end,work,R701
2023-08-19 17:50:23.096445,R701_work_begin,work,R701
2023-08-19 17:53:09.067573,R702_work_begin,work,R702
2023-08-19 17:53:15.030853,R702_work_end,work,R702
2023-08-19 17:53:42.032881,R702_work_begin,work,R702
2023-08-19 18:06:25.012977,R701_work_end,work,R701
2023-08-19 18:07:00.007556,R702_work_end,work,R702
2023-08-19 18:07:10.051663,Cooking_begin,Cooking,ALL
2023-08-19 18:10:40.070274,Cooking_end,Cooking,ALL
2023-08-19 18:19:37.039597,R701_work_begin,work,R701
2023-08-19 18:47:31.034435,R701_work_end,work,R701
2023-08-19 18:48:39.016872,R701_work_begin,work,R701
2023-08-19 18:55:45.061033,R701_work_end,work,R701
2023-08-19 18:56:43.047492,R701_work_begin,work,R701
2023-08-19 19:20:03.081057,R702_work_begin,work,R702
2023-08-19 19:23:13.075406,R702_work_end,work,R702
2023-08-19 19:26:59.000895,R701_work_end,work,R701
2023-08-19 19:31:10.010509,R701_work_begin,work,R701
2023-08-19 19:47:38.000017,R701_work_end,work,R701
2023-08-19 19:55:07.011178,Cooking_begin,Cooking,ALL
2023-08-19 20:00:02.032225,Cooking_end,Cooking,ALL
2023-08-19 20:00:14.036554,R702_work_begin,work,R702
2023-08-19 20:01:32.083801,R702_work_end,work,R702
2023-08-19 20:01:41.062526,Cooking_begin,Cooking,ALL
2023-08-19 20:01:51.055853,R701_work_begin,work,R701
2023-08-19 20:02:21.024699,Cooking_end,Cooking,ALL
2023-08-19 20:03:42.090232,R701_work_end,work,R701
2023-08-19 20:04:36.034646,R702_work_begin,work,R702
2023-08-19 20:06:57.052038,R702_work_end,work,R702
2023-08-19 20:07:22.089092,Cooking_begin,Cooking,ALL
2023-08-19 20:10:06.079823,Cooking_end,Cooking,ALL
2023-08-19 20:11:03.045988,R702_work_begin,work,R702
2023-08-19 20:11:24.018506,R702_work_end,work,R702
2023-08-19 20:11:51.053742,R702_work_begin,work,R702
2023-08-19 20:15:54.082847,R702_work_end,work,R702
2023-08-19 20:17:44.071835,R702_work_begin,work,R702
2023-08-19 20:24:49.090131,R702_work_end,work,R702
2023-08-19 20:41:02.091636,R702_work_begin,work,R702
2023-08-19 20:41:15.025161,R702_work_end,work,R702
2023-08-19 20:46:53.007653,R701_work_begin,work,R701
2023-08-19 20:54:27.002457,R701_work_end,work,R701
2023-08-19 20:54:50.013631,Cooking_begin,Cooking,ALL
2023-08-19 21:02:37.089943,Cooking_end,Cooking,ALL
2023-08-19 21:03:22.049732,R701_work_begin,work,R701
2023-08-19 21:05:45.034957,R701_work_end,work,R701
2023-08-19 21:14:42.011778,R701_work_begin,work,R701
2023-08-19 22:17:03.015568,R701_work_end,work,R701
2023-08-19 22:19:55.028838,R701_work_begin,work,R701
2023-08-19 22:33:11.004069,R702_work_begin,work,R702
2023-08-19 22:34:27.069506,R702_work_end,work,R702
2023-08-19 23:44:57.072918,R701_work_end,work,R701
2023-08-19 23:48:03.085671,R701_work_begin,work,R701
2023-08-19 23:54:01.048521,R701_work_end,work,R701
2023-08-19 23:54:18.024228,R701_sleep_begin,sleep,R701
2023-08-19 23:59:56.029832,R701_sleep_end,sleep,R701
