name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Apple Oatmeal Muffins,6 Muffins,"['1/2 cup milk, non-fat', '1/3 cup applesauce', '1/2 cup flour, all-purpose', '1/2 cup quick-cooking oats (uncooked)', '1 cup sugar', '1/2 tablespoon baking powder', '1/2 teaspoon ground cinnamon', '1 apple (tart, cored & chopped)']","['Wash hands with soap and water.', 'Preheat oven to 400 °F.', 'Place 6 cupcake holders in baking tin.', 'In a mixing bowl, add milk and applesauce. Stir until blended.', 'Stir in flour, oats, sugar, baking powder, and cinnamon. Mix until moistened (do not over mix).', 'Gently stir in the chopped apples.', 'Spoon into cupcake holders.', 'Bake for 15-20 minutes or until an inserted toothpick comes out clean.', 'Cool in pan 5 minutes before serving. Store unused portions in an airtight container.']",Breads,125,0 mg,1 g,28 g,2 g,14 g,3 g,101 mg,1 mg,13 mcg RAE,1 mg,0 mcg,34 mcg DFE
Banaha Bread,6 Servings,"['6 cups water', '4-6 handfuls corn shucks', '2 cups cornmeal', '1 teaspoon baking soda', '1 teaspoon salt']","['In a large pot, bring 6 cups of water to a boil over medium to high heat.', 'Boil corn shucks for about 10 minutes. Remove carefully.', 'Strip a few shucks into strings. Tie two strings together to make longer strings.', 'In a medium-sized bowl, mix the dry ingredients.', 'Keep mixing and slowly add a little water until the mixture is firm enough to handle easily.', 'Form cornmeal mixture into 8 oval shaped balls about 3 inches long.', 'Wrap the balls in corn shucks and tie the ends closed with the corn shuck strings.', 'Gently put wrapped balls into the large pot of boiling water. The pot should be about 2/3 full of water. Cover the pot with a lid and cook for 30-45 minutes over medium to high heat.', 'Remove corn shuck covering and serve hot.']",Breads,127,0 mg,1 g,27 g,1 g,0 g,3 g,10 mg,1 mg,4 mcg RAE,0 mg,0 mcg,10 mcg DFE
Banana Berry Muffins,12 Servings,"['nonstick cooking spray', '1/4 cup applesauce', '1/4 cup sugar', '2 tablespoons dried egg mix (or 1 egg)', '2 ripe bananas, mashed', '2 tablespoons water', '1/4 cup all-purpose flour', '1/4 cup whole wheat flour', '1/4 cup quick cooking oats', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '1/4 teaspoon salt', '1/4 cup blueberries or strawberries (fresh or frozen)']","['Preheat oven to 350 °F. Spray a 12-cup muffin pan with non-stick cooking spray.', 'In a medium-size bowl, combine applesauce, sugar, dried egg mix, banana, and water. Mix well.', 'In a large bowl mix flours, oats, baking powder, baking soda, and salt.', 'Add the applesauce mixture to the bowl with the dry ingredients; mix just until the batter is moist.', 'Gently add berries into the mixture.', 'Fill each muffin cup about 3/4 full of batter.', 'Bake for 25-30 minutes until lightly brown.', 'Cool for 10 minutes and remove from pan.']",Breads,75,26 mg,1 g,15 g,1 g,8 g,2 g,17 mg,0 mg,2 mcg RAE,,4 mcg,16 mcg DFE
Banana Bread,12 servings,"['3 bananas (large, well-ripened)', '1 egg', '2 tablespoons vegetable oil', '1/3 cup milk, fat-free', '1/3 cup sugar', '1 teaspoon salt', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '1 1/2 cups flour']","['Wash hands with soap and water.', 'Preheat the oven to 350 °F.', 'Peel the bananas. Put them in a mixing bowl. Mash the bananas with a fork.', 'Add the egg, oil, milk, sugar, salt, baking soda, and baking powder. Mix well with the fork.', 'Slowly stir the flour into the banana mixture. Stir for 20 seconds until the flour is moistened.', 'Lightly grease the bread pan with a little oil or cooking spray. Or, line the pan with wax paper.', 'Pour the batter into the bread pan.', 'Bake for 45 minutes until a toothpick inserted near the middle comes out clean.', 'Let the bread cool for 5 minutes before removing it from the pan.']",Breads,137,16 mg,3 g,26 g,1 g,10 g,3 g,26 mg,1 mg,12 mcg RAE,3 mg,0 mcg,55 mcg DFE
Basic Muffins,12 Muffins,"['1/4 cup oil', '1 cup sugar', '1 egg', '1 1/4 cups applesauce', '1 1/2 teaspoons cinnamon', '1 teaspoon baking soda', '1/4 teaspoon salt', '1 cup all-purpose flour', '1 cup whole wheat flour', 'carrots, raisins, and/or walnuts (optional)', '1/2 milk (1/2 cup optional, only if adding carrots, raisins or walnuts)']","['Preheat oven to 350 °F.', 'Line muffin tin with paper baking cups or grease bottom of tin with cooking spray.', 'Cream margarine and sugar with an electric mixer, or by hand.', ' Add egg, milk, and applesauce, mixing well.', 'Blend in cinnamon, baking soda, salt, and flour.', 'Add carrots, raisins, and/or walnuts if desired. If any of these items are added, also add milk and mix.', 'Fill muffin tins 2/3 full and bake for 15 to 18 minutes.']",Breads,201,16 mg,5 g,37 g,2 g,21 g,3 g,12 mg,1 mg,7 mcg RAE,0 mg,0 mcg,37 mcg DFE
Blue Corn Pan Bread,12 servings,"['3 cups water', '2 cups blue cornmeal (yellow may be used)', '1 cup cornmeal (yellow)', '3/4 cup raisins', '1/2 cup sprouted wheat', '1/3 cup brown sugar']","['Wash hands with soap and water.', 'Preheat oven to 300 °F. Line 8x8 inch cake pan with foil.', 'Bring water to boil in a large pot. Add each ingredient, one at a time.', 'Stir well until mixture is smooth and pour into foil-lined cake pan. Cover with a piece of aluminum foil.', 'Bake for 2 hours. Bread is done when toothpick inserted in center comes out clean.']",Breads,182,,2 g,40 g,3 g,12 g,4 g,15 mg,1 mg,,0 mg,,
Blueberry Muffins,12 servings,"['1/2 cup vegetable oil', '1 cup sugar', '2 eggs', '1/2 cup milk, low-fat', '1 teaspoon vanilla', '2 cups flour', '2 teaspoons baking powder', '1/2 teaspoon salt', '2 cups blueberries (fresh or frozen)']","['Preheat the oven to 375 °F.', 'Grease the muffin pans.', 'In a large mixing bowl, stir the oil and sugar until creamy.', 'Add eggs, milk and vanilla. Mix until blended.', 'In a medium mixing bowl, stir together the flour, baking powder, and salt.', 'Add the flour mix to the oil and sugar in the large bowl. Stir together.', 'Stir the blueberries into the batter.', 'Fill each muffin cup 2/3 full with batter.', 'Bake for 25 to 30 minutes.']",Breads,252,32 mg,10 g,37 g,1 g,20 g,4 g,67 mg,1 mg,20 mcg RAE,2 mg,0 mcg,67 mcg DFE
Bran Flake Raisin Muffins,10 Muffins,"['1/2 cup flour, all-purpose', '3/4 cup flour, whole wheat', '1/4 teaspoon salt', '2 teaspoons baking soda', '1/2 cup sugar', '1 3/4 cups bran flake cereal with raisins', '1 egg', '1 cup buttermilk', '2 tablespoons vegetable oil']","['Wash hands with soap and water.', 'Preheat oven to 425 °F. Spray or grease the bottoms of a muffin tin.', 'Put flour in a large bowl. Add salt, baking soda, and sugar. Mix well.', 'Stir in the bran flake cereal. Mix well.', 'Make a well in the center of mixture and set aside.', 'In another bowl, beat the egg, buttermilk, and oil together.', 'Pour the egg mixture into the well of the cereal mixture and stir until all ingredients are moist. Do not over mix.', 'Fill the tins 2/3 full.', 'Bake for 15-20 minutes or until golden brown.', 'If not eaten right away, wrap the baked muffins in foil or a plastic bag and store in the freezer. Thaw for 15 seconds in the microwave or overnight in the refrigerator.']",Breads,167,19 mg,4 g,30 g,2 g,15 g,4 g,210 mg,4 mg,45 mcg RAE,0 mg,1 mcg,143 mcg DFE
Bran Muffins,30 servings,"['5 cups flour', '2 teaspoons salt', '2 teaspoons baking soda', '3 cups sugar', '8 cups raisin bran (about 15 oz)', '4 eggs (beaten)', '4 cups buttermilk', '1 cup oil', 'vegetable oil spray (or oil)']","['Measure flour into 1-gallon container.', 'Add salt, soda, sugar and raisin bran to the flour and mix well with spoon.', 'With a spoon make a ""well"" in the center of the dry ingredients.', 'In the medium size bowl, beat the eggs with a fork until whites and yolk are evenly blended.', 'Add milk and oil to eggs. Beat with fork.', 'Add liquid to dry ingredients. Stir until dry ingredients are moistened (mixture will be lumpy).', 'Lightly oil the bottoms of the paper cups in the muffin pan (or use muffin cups). Fill the muffin cups to 3/4 full.', 'Bake at 425 °F for 15-20 minutes.', 'Baked muffins can be frozen for future use.']",Breads,293,28 mg,9 g,49 g,2 g,27 g,5 g,311 mg,6 mg,66 mcg RAE,0 mg,1 mcg,245 mcg DFE
Bread in a Bag,12 servings,"['2 cups flour (all-purpose, plus extra for kneading)', '1 cup flour (whole wheat)', '3 tablespoons milk (powdered, nonfat)', '3 tablespoons sugar', '1 teaspoon salt', '1 tablespoon yeast (rapid rise)', '3 tablespoons vegetable oil', '1 cup water (warm, 120 to 130 °F)', 'flour (as needed, extra, for kneading)']","['Wash hands with soap and water.', 'Combine flour, whole wheat flour, yeast, sugar, salt and powdered milk in a one gallon resealable freezer bag. Squeeze upper part of bag to force out air and seal bag. Shake and work bag with fingers to blend ingredients.', 'Add oil and warm water to dry ingredients. Reseal bag. Mix by working bag with fingers until dough is completely mixed and pulls away from bag.', 'On a floured surface, knead dough 5 minutes or until smooth and elastic, adding flour as needed. Put dough back into bag and let it rest 10 minutes.', 'Shape dough on greased baking sheet or put into a 4x8 inch greased loaf pan. Cover with a clean cloth or plastic wrap and let rise until doubled in bulk.', 'Preheat oven to 350 °F and bake for about 30 minutes or until golden brown. (This may take between 25 and 45 minutes to bake.)', 'Remove from pan and cool on a wire rack or clean dish towel.']",Breads,159,0 mg,4 g,27 g,2 g,4 g,4 g,21 mg,1 mg,8 mcg RAE,0 mg,0 mcg,89 mcg DFE
Chapatis Flatbread,6 servings,"['2 cups whole wheat flour', '2/3 cup water (warm)', '2 teaspoons vegetable oil', '1 dash salt']","['Wash hands with soap and water.', 'Place the flour in a large mixing bowl. Add water, oil, and salt. Mix with fork and then with hands. Keep mixing until you can make a ball.', 'Knead the dough for about 10 minutes. Let rest for 30 minutes in the bowl, covered with a damp cloth.', 'Roll the ball into a 12-inch log and cut into 6 chunks.', ""Roll each chunk into a very thin pancake, about 7 inches in diameter. Don't worry about making the dough into a perfect circle-just try to get it as thin as you can."", 'Heat a cast iron skillet (lightly greased) on medium-high heat. Place one chapati in the skillet and cook for 30 seconds.', 'Use a spatula to lift bread. When chapati gets brown spots and bubbles, flip it over and cook for another 30 seconds.', 'Wrap the cooked chapati in a cloth napkin while cooking the rest.', 'Eat them right away with a little butter or margarine, or use as scoops for eating other dishes.']",Breads,149,0 mg,3 g,29 g,4 g,0 g,5 g,14 mg,1 mg,0 mcg RAE,0 mg,0 mcg,18 mcg DFE
