name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Ambrosia,8 servings,"['1 can pineapple chunks (in juice, 20 oz., drained)', '1 1/3 cups mandarin orange (drained)', '1 banana (peeled and sliced)', '1 1/2 cups grape (seedless)', '3/4 cup marshmallows (miniature)', '1/3 cup coconut (flaked)', '1 cup vanilla yogurt, low-fat (8 ounces)']","['Drain pineapple and oranges. Use juice as beverage.', 'Combine fruit with marshmallows and coconut.', 'Fold in yogurt.', 'Chill.', 'Serve.']",Desserts,139,2 mg,2 g,31 g,2 g,26 g,3 g,70 mg,1 mg,27 mcg RAE,20 mg,0 mcg,13 mcg DFE
Angel Food Cake,12 Servings,"['12 egg whites (1 1/2 cups)', '1 teaspoon cream of tartar', '1 1/2 cups sugar', '1 teaspoon vanilla extract', '1/4 teaspoon salt', '1 cup flour (sifted)']","['Preheat the oven to 325 °F. In a large mixing bowl, beat the egg whites until they are foamy.', 'Add the cream of tartar and beat until stiff, but not dry. Gradually beat in the sugar', 'Add the vanilla and salt and then gently fold in the flour.', 'Pour the mix into an angel food tubular pan and bake for 1 hour and 15 minutes, or until the top is nicely browned.']",Desserts,152,0 mg,0 g,33 g,0 g,25 g,5 g,4,1,0 mcg RAE,0 mg,0 mcg,32 mcg DFE
Angel Food Pastry with Fresh Berries and Whipped Cream,1 Servings,"['1 ounce angel food cake mix (3 tablespoons)', '1/8 cup yogurt, low-fat vanilla (2 tablespoons)', '3 cups raspberries (about 3 )', '2 strawberries, sliced', '1 1/2 tablespoons lite whipped topping (can use 1-2 tablespoons)']","['Scoop 3 tablespoons of angel food cake mix into a microwave-safe cup or mug.', 'Add 2 tablespoons of vanilla yogurt and stir.', 'Place in the center of the microwave oven and microwave for 1 minute.', 'Take out of microwave and let cool for 1 minute.', 'Using a knife, cut around the sides of the cup to loosen the cake and ""dump"" it on a plate.', 'Dole 1 tablespoon of whipped topping on top of the cake.', 'Sprinkle raspberries around the angel cake and add sliced strawberries to top.', 'Enjoy.']",Desserts,161,2 mg,2 g,34 g,2 g,25 g,4 g,108 mg,0 mg,5 mcg RAE,18 mg,0 mcg,30 mcg DFE
Apple Cake,12 servings,"['10 tablespoons butter', '3/4 cup sugar', '3 eggs', '1 3/4 cups flour (sifted)', '2 teaspoons baking powder', '1 tablespoon lemon rind (grated)', '2 apples (medium, pared, cored, sliced)', '2 teaspoons sugar', '8 tablespoons apricot jam (1/2 cup)']","['Beat butter with sugar until creamy.', 'Add eggs one at a time, beating until well blended.', 'Add flour, baking powder, and lemon rind, beat 4 minutes.', 'Pour into greased 9-inch spring-form pan.', 'Arrange the apples on the batter, sprinkle with 2 teaspoons sugar.', 'Bake 1 hour at 350 °F.', 'Remove from pan, brush apples with jam, cool.']",Desserts,272,72 mg,11 g,40 g,1 g,22 g,4 g,63 mg,1 mg,102 mcg RAE,3 mg,0 mcg,62 mcg DFE
Apple Chunk Cake,12 servings,"['1 1/4 cups sugar', '1/4 cup vegetable oil', '2 eggs', '2 cups flour', '1 teaspoon salt', '1 teaspoon cinnamon', '1 teaspoon baking soda', '2 cups apple (diced, chunks)', '1/4 cup applesauce (unsweetened)', '2 cups apple (sliced, to place on cake)']","['Preheat oven to 350 °F.', 'Wash hands with soap and water.', 'In a large bowl, mix sugar, oil and eggs together. Beat well.', 'In a separate bowl, combine flour, salt, cinnamon, and baking soda. Add to egg batter and mix well.', 'Add apple chunks and applesauce to the batter. Stir to combine.', 'Coat an 8x8 inch baking pan with vegetable oil spray, and pour in batter.', 'Bake until done, about 1 hour.', 'Place apple slices on top of apple cake and serve.']",Desserts,240,31 mg,6 g,45 g,2 g,27 g,3 g,14 mg,1 mg,15 mcg RAE,3 mg,0 mcg,66 mcg DFE
Apple Cinnamon Bars,24 servings,"['4 apples (medium)', '1 cup flour', '1/4 teaspoon salt', '1/2 teaspoon baking soda', '1/2 teaspoon cinnamon', '1 cup brown sugar', '1 cup oats (uncooked)', '1 cup shortening']","['Preheat the oven to 350 °F.', 'Put the flour, salt, baking soda, cinnamon, brown sugar, and oats in the mixing bowl. Stir together.', 'Add the shortening to the bowl. Use the 2 table knives to mix the ingredients and cut them into crumbs.', 'Lightly grease the bottom and sides of the baking dish with a little bit of shortening.', 'Spread half of the crumb mixture in the greased baking dish.', 'Remove the core from the apples and slice them. Put the apple slices into the baking dish.', 'Top the apples with the rest of the crumb mixture.', 'Bake in the oven for 40-45 minutes.', 'Cut into squares. It will fall apart easily.']",Desserts,99,0 mg,5 g,14 g,1 g,7 g,1 g,8,0,1 mcg RAE,1 mg,0 mcg,17 mcg DFE
Apple Coffee Cake,20 servings,"['5 cups apple (tart, cored, peeled, and chopped)', '1 cup sugar', '1 cup raisins (dark)', '1/2 cup pecans (chopped)', '1/4 cup vegetable oil', '2 teaspoons vanilla', '1 egg (beaten)', '2 1/2 cups all-purpose flour (sifted)', '1 1/2 teaspoons baking soda', '2 teaspoons cinnamon (ground)']","['Preheat oven to 350 °F.', 'Lightly oil a 13x9x2 inch pan.', 'In a large mixing bowl, combine apples with sugar, raisins, and pecans; mix well. Let stand 30 minutes.', 'Stir in oil, vanilla, and egg. Sift together flour, soda, and cinnamon; stir into apple mixture about 1/3 at a time, just enough to moisten dry ingredients.', 'Turn batter into pan. Bake 35-40 minutes. Cool cake slightly before serving.']",Desserts,180,9 mg,5 g,32 g,2 g,17 g,2 g,14 mg,1 mg,5 mcg RAE,1 mg,0 mcg,48 mcg DFE
Apple Crisp,8 servings,"['4 apples (medium)', '1/4 cup oatmeal (quick cooking)', '1/4 cup flour', '1/2 cup brown sugar', '1 tablespoon cinnamon', '1/4 cup margarine']","['Preheat the oven to 350 °F.', 'Grease the bottom and sides of the square pan.', 'Remove the cores from the apples. Slice the apples. Spread the sliced apples on the bottom of the pan.', 'Cut the margarine into small pieces and put in a medium-sized bowl.', 'Add the oatmeal, flour, brown sugar and cinnamon.', 'Using two knives, cut the margarine into the mixture until it looks like small crumbs.', 'Sprinkle the mixture over the top of the apples.', 'Bake in the oven for about 20 minutes.']",Desserts,165,0 mg,6 g,28 g,3 g,21 g,1 g,27 mg,1 mg,60 mcg RAE,3 mg,0 mcg,15 mcg DFE
Apple Pistachio Crisp,4 Servings,"['3 apples (such as Honeycrisp, cored and cut into 1” chunks and unpeeled)', '1/2 cup raisins', '1/2 lemon (juiced)', '1/2 cup old fashion oats', '1/4 cup whole wheat flour', '1 teaspoon cinnamon', '3 tablespoons brown sugar', '1/4 cup pistachios (unsalted, chopped)', '2 tablespoons margarine or butter (melted)']","['Place rack in center of oven and preheat to 350 ºF.', 'Place sliced apples, raisins, and lemon juice in 8x8 inch pan or baking dish; toss.', 'In a bowl, mix remaining ingredients except melted margarine.', 'Add melted margarine and mix until texture is consistent. Sprinkle over apple-raisin mixture.', 'Bake uncovered 45-50 minutes or until apples are tender.']",Desserts,330,0 mg,10 g,60 g,7 g,25 g,5 g,47 mg,2 mg,62 mcg RAE,8 mg,0 mcg,15 mcg DFE
Apple Sandwiches,2 Servings,"['1 medium apple', '2 tablespoons peanut butter', '1 tablespoon raisins']","['Wash hands with soap and water.', 'Cut apple in half from the stem down and lay each half cut-side down on a cutting board. Slice each half into 6 half-round slices and cut out the core.', 'Spread 1/2 teaspoon peanut butter on one side of each apple slice.', 'Put 4 to 6 raisins on top of the peanut butter on one apple slice. Top with another apple slice, peanut-butter side down. Squeeze gently.', 'Continue with remaining apple slices.']",Desserts,147,0 mg,9 g,16 g,3 g,11 g,4 g,14 mg,0 mg,2 mcg RAE,3 mg,0 mcg,14 mcg DFE
