name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
2-Step Chicken,4 Servings,"['1 tablespoon vegetable oil', '2 boneless chicken breasts', '1 can (10 oz) cream of chicken soup, reduced sodium', '1/2 cup water']","['Heat oil in a skillet at a medium-high setting.', 'Add chicken and cook for ten minutes.', 'Remove chicken from pan and set aside.', 'Stir the soup and water together in the skillet and heat it to a boil.', 'Return the chicken to the skillet. Reduce the heat to low and simmer for an additional 10 minutes, or until the chicken reaches an internal temperature of 165 °F.']",Main,154,45 mg,7 g,6 g,0 g,0 g,17 g,17 mg,1 mg,,0 mg,,
20-Minute Chicken Creole,8 servings,"['1 tablespoon vegetable oil', '2 chicken breasts (whole, skinless, boneless)', '1 can diced tomatoes (14 1/2 oz., with juice)', '1 cup chili sauce', '1 green pepper (chopped, large)', '2 celery stalks (chopped)', '1 onion (chopped)', '2 garlic cloves (minced)', '1 teaspoon dried basil', '1 teaspoon parsley (dried)', '1/4 teaspoon cayenne pepper', '1/4 teaspoon salt']","['Heat pan over medium-high heat (350 °F in an electric skillet). Add vegetable oil and chicken and cook until the chicken reaches an internal temperature of 165 °F (3-5 minutes).', 'Reduce heat to medium (300 °F in electric skillet).', 'Add tomatoes with juice, chili sauce, green pepper, celery, onion, garlic, basil, parsley, cayenne pepper, and salt.', 'Bring to a boil; reduce heat to low and simmer, covered for 10-15 minutes.', 'Serve over hot, cooked rice or whole wheat pasta.', 'Refrigerate leftovers within 2 hours.']",Main,76,21 mg,3 g,6 g,2 g,3 g,8 g,34 mg,1 mg,25 mcg RAE,34 mg,0 mcg,16 mcg DFE
5 A Day Bulgur Wheat,8 servings,"['1 onion (medium, chopped)', '1 cup broccoli (chopped)', '1 cup carrots (shredded)', '1 green pepper (small, chopped, - may use red or yellow pepper)', '1/3 cup fresh parsley (chopped, or 2 tablespoons dried)', '1 teaspoon canola oil', '1 1/2 cups bulgur (dry)', '2 cups chicken broth (low-sodium)', '8 ounces chickpeas or garbanzo beans (canned, drained)']","['Wash and chop fresh onion, broccoli, carrots, pepper and parsley (if using fresh parsley).', 'Heat canola oil in a large skillet. Add onions and cook until soft.', 'Add bulgur and stir to coat. Add 2 cups chicken broth to the skillet, bring to a boil.', 'Lower the heat, add remaining vegetables and chickpeas. Cook for 10 minutes or until the liquid is absorbed.', 'Add parsley and stir. Serve warm or cold.']",Main,647,0 mg,10 g,112 g,31 g,18 g,33 g,171 mg,9 mg,154 mcg RAE,36 mg,0 mcg,316 mcg DFE
Any Day's a Picnic Chicken Salad,6 servings,"['2 1/2 cups chicken breast (cooked, diced)', '1/2 cup celery (chopped)', '1/4 cup onion (chopped)', '3 packages pickle relish (2/3 tablespoon)', '1/2 cup mayonnaise (light)']","['Wash hands with soap and water.', 'Combine all ingredients.', 'Refrigerate until ready to serve.', 'Use within 1-2 days. Chicken salad does not freeze well.']",Main,150,58 mg,7 g,5 g,0 g,3 g,17 g,10 mg,0 mg,11 mcg RAE,1 mg,0 mcg,9 mcg DFE
Anytime Pizza,2 servings,"['1/4 mini baguette or Italian bread (split lengthwise, or 2 split English muffins)', '1/2 cup pizza sauce', '1/2 cup mozzarella or cheddar cheese (part-skim, shredded)', '1/4 cup green pepper (chopped)', '1/4 cup mushrooms (fresh or canned, sliced)', 'vegetable toppings (others, as desired, optional)', 'Italian seasoning (optional)']","['Toast the bread or English muffin until slightly brown.', 'Top bread or muffin with pizza sauce, vegetables and low-fat cheese.', 'Sprinkle with Italian seasonings as desired.', 'Return bread to toaster oven (or regular oven preheated to 350 °F).', 'Heat until cheese melts.']",Main,180,15 mg,7 g,18 g,2 g,4 g,11 g,251,1,,22 mg,,58 mcg DFE
Apple Carrot Soup,8 servings,"['1 pound pork (lean, cut into chunks)', '4 apples (with skin, cored and quarterd)', '4 carrots (large, peeled and cut into chunks)', '1 orange peel (dried, 1 teaspoon, optional)', '4 slices ginger', '1/2 teaspoon salt', '20 cups water']","['In a large pot over high heat, combine all ingredients, bring to a boil.', 'Reduce heat to medium and simmer until soup reduces to about 8 cups of liquid, about 3 to 4 hours.', 'Skim fat from surface and serve.', 'Store leftover soup covered in refrigerator for up to 3 days.']",Main,116,27 mg,2 g,13 g,3 g,9 g,12 g,37 mg,1 mg,303 mcg RAE,5 mg,0 mcg,9 mcg DFE
"Apple, Fennel & Chicken Salad with Couscous",4 Servings,"['12 ounces boneless chicken breast (2-3 breasts)', '3 tablespoons olive oil (divided)', '1 cup whole wheat couscous', '2 medium red apples', '1 tablespoon lemon juice (divided)', '1 fennel bulb', '1 tablespoon balsamic vinegar', '1 tablespoon sugar', '1/4 teaspoon salt', '1/8 teaspoon ground black pepper', '3 1/2 cups fresh baby spinach (about 3.5 cups)', '1/8 cup walnuts (chopped, may use pecans or almonds)']","['Slice chicken breasts crosswise into 1/2 inch strips.', 'Heat 1 tablespoon olive oil in large skillet over medium heat.', 'Add chicken, cook 8-10 minutes until done, stirring occasionally, remove from heat.', 'While chicken is sautéing, cook couscous according to package directions, let cool.', 'Core and chop apples, place in large bowl; toss with 1 tablespoon lemon juice.', 'Chop fennel bulb (discarding stem and fronds) and add to bowl. ', 'In a small bowl, whisk remaining oil and lemon juice with balsamic vinegar, sugar, salt, and pepper.', 'Add chicken, couscous, spinach, and nuts to bowl with apples and fennel.', 'Drizzle with dressing, toss to coat, and serve.', 'Can be made several hours ahead and refrigerated.']",Main,440,45 mg,16 g,56 g,6 g,13 g,25 g,63 mg,3 mg,70 mcg RAE,16 mg,0 mcg,25 mcg DFE
Apricot & Lemon Chicken,4 Servings,"['4 chicken breasts, boneless & skinless (medium)', '1 teaspoon cumin', '5 tablespoons apricot spread (about 1/3 cup)', '1 fresh lemon, juiced', '2 tablespoons water']","['Wash hands with soap and water.', 'Rub cumin over chicken and place in skillet.', 'Cook on medium-high for 6 minutes on each side, or until cooked through. Remove from pan and keep warm.', 'Add apricot spread, lemon juice, and water to skillet. On medium heat, stir until smooth.', 'Spoon sauce over chicken and serve warm.']",Main,241,84 mg,4 g,19 g,0 g,13 g,31 g,26 mg,2 mg,6 mcg RAE,7 mg,0 mcg,9 mcg DFE
Argentinean Grilled Steak with Salsa Criolla,4 Servings,[],"['In a small bowl, mix together tomato, onions, parsley, olive oil, vinegar, garlic, oregano, low-sodium adobo seasoning and crushed red pepper.', 'Cover and refrigerate for at least 1 hour or up until 48 hours.']",Main,220,70 mg,11 g,5 g,1 g,3 g,25 g,29 mg,2 mg,30 mcg RAE,9 mg,0 mcg,20 mcg DFE
Arroz Con Pollo,4 Servings,"['4 6-ounce chicken thighs (bone-in, skin removed)', '1/2 teaspoon Kosher salt', '1/2 teaspoon black pepper', '1 yellow onion (peeled and chopped)', '1 bell pepper (cored, seeded, and chopped)', '3 garlic cloves (peeled and minced)', '1 teaspoon ground cumin', '1 teaspoon dried oregano', '1 cup long-grain white rice (uncooked)', '1 can (14.5 oz) low-sodium diced tomatoes (including liquid)', '2 cups water', '1 cube low sodium chicken bouillon']","['To trim, lay chicken thighs on the cutting board, skin side up. Push the chicken down so the excess fat is on the cutting board (the excess is the part that isn’t right on top of the chicken). Using kitchen scissors or a sharp knife, cut off excess fat and discard. Pat chicken dry with paper towels, and discard towels.', 'Place the skillet over medium high heat and when it is hot, add the chicken thighs, skin side down and cook until browned, then flip, about 5 minutes on each side.', 'Turn the heat off, carefully remove the chicken from the skillet and transfer to the plate. Pour off all but 1 tablespoon fat.', 'Reheat the skillet over low heat and add the onion, pepper, garlic, cumin, and oregano and cook until the onion is softened, about 10 minutes.', 'Add the uncooked rice and tomatoes and stir well.', 'Add the water and bouillon cube and bring to a boil over high heat. Return chicken to pan, skin side down, turn the heat down to low and cover.', 'Cook chicken for 20 minutes and then carefully flip so that the skin side is up.', 'Cover and cook for an additional 20 minutes. Serve right away.']",Main,363,112 mg,9 g,45 g,5 g,5 g,26 g,88 mg,3 mg,19 mcg RAE,36 mg,0 mcg,28 mcg DFE
