name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
5 A Day Salad,4 servings,"['4 cups spinach (fresh)', '4 cups romaine lettuce', '2 cups green pepper (chopped, or use red, yellow, or orange)', '2 cups cherry tomatoes', '1 cup broccoli (chopped)', '1 cup cauliflower (chopped)', '1 cup yellow squash (sliced)', '1 cup cucumber (sliced)', '2 cups carrot (chopped)', '1 cup zucchini (sliced)']","['Wash all of the vegetables and mix them together in a large mixing bowl.', 'Top this colorful meal with the nonfat or low-fat dressing of your choice.']",Salads,99,0 mg,1 g,21 g,8 g,10 g,5 g,119 mg,2 mg,818 mcg RAE,129 mg,0 mcg,181 mcg DFE
A Simple Mexican Salad,4 servings,"['2 cucumbers', '2 oranges', '1 lemon or lime (the juice)', '1/2 teaspoon chili powder', '1/2 teaspoon salt']","['Wash hands with soap and water.', 'Wash the cucumbers, oranges and lemon or lime under cold running water.', 'Slice the cucumbers. Peel and cut the oranges into small pieces.', 'Place cucumber slices and orange pieces in a medium size bowl. Add chili powder, lemon or lime juice and salt.']",Salads,46,0 mg,0 g,11 g,2 g,8 g,1 g,42 mg,0 mg,16 mcg RAE,43 mg,0 mcg,36 mcg DFE
Any Day's a Picnic Chicken Salad,6 servings,"['2 1/2 cups chicken breast (cooked, diced)', '1/2 cup celery (chopped)', '1/4 cup onion (chopped)', '3 packages pickle relish (2/3 tablespoon)', '1/2 cup mayonnaise (light)']","['Wash hands with soap and water.', 'Combine all ingredients.', 'Refrigerate until ready to serve.', 'Use within 1-2 days. Chicken salad does not freeze well.']",Salads,150,58 mg,7 g,5 g,0 g,3 g,17 g,10 mg,0 mg,11 mcg RAE,1 mg,0 mcg,9 mcg DFE
Apple & Chicken Salad,4 Servings,"['2 red apples (such as Cameo Apples)', '2 celery stalks (diced)', '2 chicken breasts (skinless, cooked, diced, about 2 cups)', '1/4 cup plain non-fat Greek yogurt', '1/2 cup raisins', '1/4 cup mayonnaise', '1/4 teaspoon salt', '1/8 teaspoon ground black pepper', '16 lettuce leaves (Bibb, Romaine, green or red leaf)']","['Cut apples in quarters; remove core and chop.', 'In a medium size bowl, mix all ingredients, except lettuce.', 'To serve, arrange lettuce on serving plates top with apple and chicken salad.']",Salads,290,65 mg,8 g,34 g,4 g,12 g,25 g,56 mg,2 mg,70 mcg RAE,7 mg,0 mcg,36 mcg DFE
Apple Banana Salad with Peanuts,4 Servings,"['12 ounces lettuce mix', '2 ripe bananas', '2 1/2 medium apples, sliced (14 oz. of sliced apples)', '3/4 cup unsalted dry roasted peanuts']","['Whisk together dressing ingredients.', 'Slice bananas.', 'In a large salad bowl, toss mixed greens, banana and apple slices, peanuts, and dressing.']",Salads,330,5 mg,17 g,42 g,8 g,26 g,10 g,99 mg,2 mg,282 mcg RAE,15 mg,0 mcg,152 mcg DFE
Apple Coleslaw,4 servings,"['2 cups cabbage', '1 carrot (medium, grated)', '1/2 green pepper (chopped)', '1 apple (chopped)', '5 tablespoons yogurt, low-fat', '1 tablespoon mayonnaise, low-fat', '1 teaspoon lemon juice', '1/4 teaspoon dill weed']","['Wash your hands with soap and water.', 'Wash the cabbage. Cut it into fine shreds, until you have 2 cups of cabbage.', 'Peel the carrot. Grate it with a grater.', 'Chop half a green pepper into small pieces.', 'Remove the core, and chop the apple.', 'Put the cabbage, carrot, green pepper, and apple in a large mixing bowl. Stir together.', 'Put the yogurt, mayonnaise, lemon juice, and dill weed in a small bowl. Stir together to make a dressing.', 'Pour the dressing over the salad. Toss to mix.']",Salads,62,1 mg,2 g,11 g,2 g,7 g,2 g,59 mg,0 mg,137 mcg RAE,32 mg,0 mcg,23 mcg DFE
Apple Cranberry Salad Toss,8 servings,"['1 head of lettuce (about 10 cups)', '2 apples (medium, sliced)', '1/2 cup walnuts (chopped)', '1 cup dried cranberries', '1/2 cup green onion (sliced)', '3/4 cup vinaigrette dressing']","['Wash hands with soap and water.', 'Toss lettuce, apples, walnuts, cranberries, and onions in a large bowl.', 'Add dressing; toss to coat. Serve immediately.']",Salads,174,0 mg,10 g,22 g,3 g,17 g,2 g,30 mg,1 mg,22 mcg RAE,5 mg,0 mcg,32 mcg DFE
Apple Salad,8 servings,"['2 cups apple (diced)', '1 cup celery (diced)', '1/2 cup raisins', '1/2 cup nuts', '2 tablespoons lite mayonnaise-type dressing (or mayonnaise)', '1/16 cup orange juice (1 tablespoon)']","['Mix orange juice with salad dressing or mayonnaise.', 'Toss apples, celery, raisins and nuts with the dressing mixture.']",Salads,105,1 mg,5 g,14 g,2 g,9 g,2 g,18,1,4 mcg RAE,3 mg,0 mcg,11 mcg DFE
Apple Salad with Sweet & Tangy Yogurt Dressing,6 Servings,"['1 cup diced apple', '1 teaspoon lemon juice', '1/2 cup diced celery', '1/2 cup grated carrots', '1/2 cup raisins', '1/2 cup yogurt, low-fat vanilla (can use 1/2 to 3/4 cup)']","['Wash hands with soap and water. ', 'Wash apples, celery, and carrots before dicing/grating.', 'Toss apples with lemon juice.', 'Add celery, carrots and raisins.', 'Fold yogurt into apple mixture.', 'Cover. Chill for at least 1 hour before serving.', 'Refrigerate leftovers.']",Salads,68,1 mg,0 g,16 g,1 g,12 g,2 g,49 mg,0 mg,81 mcg RAE,2 mg,0 mcg,8 mcg DFE
"Avocado, Potato, and Grilled Chicken Salad",4 Servings,"['3 medium red potatoes', '1 fresh, ripe avocado', '1 teaspoon lemon juice', '4 green onions (chopped)', '1/2 medium red bell pepper (chopped)', '8 ounces frozen pre-cooked grilled chicken strips (about 8 strips) (thawed, cut into bite-size pieces)', '1 tablespoon olive oil', '1 tablespoon cider vinegar', '1/2 cup lemon non-fat yogurt', '1 teaspoon ground black pepper']","['In a medium sauce pan, boil potatoes about 20 minutes, until just tender; run under cold water to cool, and cut into chunks.', 'Peel avocado and cut into chunks; coat with lemon juice.', 'Whisk olive oil, vinegar, yogurt, and pepper in a small bowl.', 'Place all ingredients in large bowl. Gently toss.']",Salads,300,40 mg,11 g,34 g,6 g,6 g,19 g,60 mg,2 mg,37 mcg RAE,,0 mcg,79 mcg DFE
