name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
3-Can Chili,6 Servings,"['1 can (15.5 oz) beans, low-sodium undrained (pinto, kidney, red, or black)', '1 can (15 oz) corn, drained (or 10-oz package of frozen corn)', '1 can (15 oz) crushed tomatoes, undrained', 'chili powder (to taste)']","['Place the contents of all 3 cans into a pan.', 'Add chili powder to taste.', 'Stir to mix.', 'Continue to stir over medium heat until heated thoroughly.', 'Refrigerate leftovers.']",Soups,129,0 mg,1 g,27 g,6 g,4 g,6 g,61 mg,2 mg,14 mcg RAE,15 mg,0 mcg,57 mcg DFE
Apple Carrot Soup,8 servings,"['1 pound pork (lean, cut into chunks)', '4 apples (with skin, cored and quarterd)', '4 carrots (large, peeled and cut into chunks)', '1 orange peel (dried, 1 teaspoon, optional)', '4 slices ginger', '1/2 teaspoon salt', '20 cups water']","['In a large pot over high heat, combine all ingredients, bring to a boil.', 'Reduce heat to medium and simmer until soup reduces to about 8 cups of liquid, about 3 to 4 hours.', 'Skim fat from surface and serve.', 'Store leftover soup covered in refrigerator for up to 3 days.']",Soups,116,27 mg,2 g,13 g,3 g,9 g,12 g,37 mg,1 mg,303 mcg RAE,5 mg,0 mcg,9 mcg DFE
Apple Corn Chili,4 Servings,"['2 tablespoons olive oil (divided)', '8 ounces boneless, skinless chicken breast (cut to 1/2"" cubes)', '1 medium onion (chopped)', '2 cloves garlic (minced)', '1 3/4 cups canned yellow corn (15.2 ounce can, no-salt-added, drained)', '2 red apples, such as Braeburn, Empire, or Fuji (chopped, skin on)', '1/2 tablespoon ground cumin', '1/8 teaspoon cayenne pepper (if desired)', '1 can can (15 oz) black beans (no-salt-added, drained and rinsed)', '4 1/2 ounces can diced green chiles (drained)', '2 teaspoons chicken bouillon (sodium-free)', '2 cups water']","['In a stockpot, heat 1 tbsp. olive oil; add chicken and brown (about 5 minutes). Remove chicken from pan.', 'Heat remaining olive oil in same pot; add onions and garlic and sauté until soft.', 'Add corn and sauté until golden brown. Add apple, cumin, and cayenne pepper (if desired); cook about 3-4 minutes. Let cool about 5 minutes.', 'Set aside about 1 cup of mixture. Purée remainder in food processor or blender, adding a portion of water, if needed, and return to pot.', 'Add browned chicken, black beans, chiles, bouillon, and water. Bring to boil and simmer about 15 minutes. Chicken should be cooked to 165 ºF.', 'To serve, ladle soup in bowls and top with non-puréed portion of apple corn mixture.']",Soups,360,35 mg,11 g,48 g,9 g,15 g,20 g,100 mg,3 mg,27 mcg RAE,46 mg,0 mcg,112 mcg DFE
Barley Jambalaya,6 Servings,"['1 cup instant pearl barley', '4 cups water', '2 whole bay leaves', '3 medium onions', '2 small celery stalks', '1 cup diced green, red, yellow, or orange bell pepper', '2 medium cloves garlic', '1 tablespoon canola oil', '4 ounces ground turkey', '2 (14.5-oz) cans diced tomato (no salt added)', '1 teaspoon salt', '1/2 teaspoon ground cayenne pepper', '1 1/2 teaspoons dried oregano', '1 teaspoon ground black pepper']","['In a colander, rinse barley under cold water.', 'In a medium pot over high heat, bring barley, water, and bay leaves to a boil. Reduce heat to low and cover. Cook barley until tender and water is absorbed, about 20-30 minutes.', 'In a colander, drain barley. Set aside.']",Soups,230,15 mg,5 g,41 g,9 g,9 g,9 g,80 mg,3 mg,45 mcg RAE,48 mg,0 mcg,51 mcg DFE
Beef & Vegetable Soup,6 Servings,"['1 tablespoon vegetable oil', '1 pound lean ground beef', '1 medium onion, diced', '2 cloves garlic, minced', '1 can low sodium beef broth (14.5-ounce can)', '1 can sliced carrots, drained (14.5-ounce can)', '1 can no salt added cut green beans (14.5-ounce can)', '1 can no salt added stewed tomatoes (14.5-ounce can)', '1 teaspoon dried basil', '1 cup cooked egg noodles']","['In 4-quart saucepan over medium-high heat in hot oil, cook ground beef until well browned on all sides, stirring frequently.', 'With slotted spoon, remove beef to bowl. In drippings remaining in saucepan over medium heat, cook onion and garlic until tender-crisp.', 'Add beef broth, carrots, green beans, stewed tomatoes, basil and ground beef; over high heat, heat to boiling.', 'Reduce heat to low; cover and simmer 10 to 15 minutes to blend flavors, stirring occasionally.', 'Stir in cooked egg noodles.']",Soups,226,52 mg,10 g,17 g,3 g,5 g,19 g,,,252 mcg RAE,12 mg,0 mcg,65 mcg DFE
Beef and Vegetable Soup,8 Servings,"['1 pound ground beef', '1 1/2 cans low-sodium whole kernel corn (about 23 ounces)', '1 can low-sodium carrots (about 15 ounces)', '1 can low-sodium potatoes (sliced, about 15 ounces)', '1 can low-sodium diced tomatoes (about 15 ounces)', '1 small onion, diced', '1/2 cup macaroni, dry', '1 teaspoon garlic powder', '1 teaspoon onion powder']","['In a large pan, brown ground beef over medium heat for 8-10 minutes. Drain off fat.', 'Add corn, carrots, potatoes, tomatoes, and onions to pot.', 'Cook for 25 minutes over medium heat. Stir every 10 minutes.', 'Add macaroni, garlic powder, and onion powder to pot.', 'Cook for 20 minutes over medium heat. Stir every 10 minutes.']",Soups,258,39 mg,9 g,30 g,4 g,5 g,15 g,47 mg,3 mg,,,,
Beef Pozole Soup,10 servings,"['32 ounces lean beef (2 pounds, cubed)', '1 tablespoon olive oil', '1 onion (large)', '1 garlic clove (finely chopped)', '1/4 teaspoon salt', '1/8 teaspoon pepper', '1/4 cup cilantro', '1 can stewed tomatoes (15 ounces, low sodium)', '2 ounces tomato paste', '1 can hominy (1 lb. 13 ounce can)']","['Wash hands with soap and water.', 'In a large pot, heat oil. Brown beef cubes.', 'Add onion, garlic, salt, pepper, cilantro, and enough water to cover the meat.', 'Cover pot and cook over low heat until meat is tender.', 'Add tomatoes and tomato paste. Continue cooking for about 20 minutes.', 'Add hominy and continue cooking another 15 minutes, stirring occasionally, over low heat. If too thick, add water for desired consistency.']",Soups,313,95 mg,14 g,16 g,2 g,3 g,30 g,36 mg,4 mg,9 mcg RAE,7 mg,0 mcg,40 mcg DFE
Black Bean Soup,5 Servings,"['2 tablespoons vegetable oil', '1 Spanish onion', '2 carrots (diced)', '2 celery sticks (diced)', '4 garlic cloves (peeled and minced)', '1 teaspoon dried basil', '1 teaspoon dried oregano', '2 teaspoons chili powder (or more to taste)', '3 cans (15.5 ounce) low-sodium black beans (drained and rinsed in cold water, or use 6 cups cooked (dried) black beans)', '8 cups water', '1 cube low sodium chicken bouillon', '1 lime (juiced)', 'plain low-fat yogurt (optional)']","['Place a soup or stock pot on the stove over medium heat and when it is hot, add the oil. Add an onion, carrots, celery, garlic, basil, oregano, and chili powder and cook about 10 minutes until the onion is soft.', 'Add the beans, water, and bouillon cube and raise the heat to high and bring to a boil. Turn the heat down to low and cook about 2 1/2 hours until the beans are very tender and the mixture is uniform in color.', 'If you want a pureed soup, set the soup aside to cool for about 20 minutes. Put 2 cups soup in a blender and put the top on, halfway (this will allow the soup to expand and any steam to escape) and blend until smooth. Transfer to a large container. Repeat using the rest of the soup.', 'Just before serving, squeeze the juice of 1/4 lime on each serving and a tablespoon of yogurt.', 'Serve right away, or cover and refrigerate up to 5 days.']",Soups,322,0 mg,6 g,51 g,20 g,4 g,17 g,147 mg,6 mg,263 mcg RAE,13 mg,0 mcg,178 mcg DFE
Black Bean Soup,4 servings,"['1 cup onion (chopped)', '3/4 cup celery (chopped)', '2 teaspoons garlic (chopped)', '1 1/2 cups beef broth (fat removed, reduced sodium)', '2 cans black beans, low-sodium (15 ounce each, drained and rinsed)', '1/2 cup salsa (thick and chunky)', '1 1/2 teaspoons cumin', '1/2 teaspoon onion powder', '1/4 teaspoon oregano (dried)']","['Combine all ingredients in a saucepan.', 'Cover and simmer for 20 to 25 minutes or until vegetables are tender.']",Soups,238,0 mg,1 g,43 g,16 g,3 g,16 g,110 mg,5 mg,12 mcg RAE,13 mg,0 mcg,148 mcg DFE
Black-Eyed Pea and Collard Greens Soup,6 Servings,"['1 tablespoon vegetable oil', '1 medium onion, chopped', '1/8 teaspoon garlic powder', '1/4 pound deli ham, sliced (4 ounces)', '3 cups collard greens, stems removed and chopped (1/2 pound)', '1 can (14.5 oz) broth (fat-free, low sodium chicken or vegetable)', '2 cans black-eyed peas, drained and rinsed (or 4 cups)', 'salt and pepper to taste', '2 teaspoons apple cider vinegar']","['Wash the collard greens.*', 'Drain and rinse the black-eyed peas.', 'Collect, chop, dice, and measure all ingredients before starting to prepare the recipe.', 'Place oil, onion, garlic, and ham in a large pot with a lid over medium heat. Stir occasionally until onion is clear, about 3 to 5 minutes.', 'Add collard greens and broth to the pot.', 'Cover and simmer for about 20 minutes until the collard greens are tender.', 'Place half of the black-eyed peas in a small bowl, and mash with a fork. Stir the mashed and whole peas into the soup. Simmer for another 5 minutes.', 'Taste, and add a small amount of salt and black pepper if desired.', 'Stir in vinegar just before serving.', 'Refrigerate leftovers within 2 hours. Eat within 3 to 5 days.']",Soups,190,8 mg,4 g,26 g,8 g,5 g,13 g,77 mg,3 mg,,8 mg,,166 mcg DFE
